onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.32	0.5	32	2	2.0	342	1	Prac	1	1.0	1	47896	8.0	n/a	41576	3	n/a	6.32	0.5	6.0	52.9	58.9	7.1
6.934	0.5	32	2	2.0	283	1	Prac	1	1.0	2	48510	2.0	n/a	41576	3	n/a	6.934	0.5	6.0	52.9	58.9	7.1
7.564	0.5	32	3	2.0	207	0	Prac	1	1.0	3	49140	12.0	n/a	41576	3	n/a	7.564	0.5	6.0	52.9	58.9	7.1
8.177	0.5	32	2	2.0	333	1	Prac	1	1.0	4	49753	5.0	n/a	41576	3	n/a	8.177	0.5	6.0	52.9	58.9	7.1
8.807	0.5	32	4	4.0	338	1	Prac	1	1.0	5	50383	15.0	n/a	41576	3	n/a	8.807	0.5	6.0	52.9	58.9	7.1
9.421	0.5	32	2	2.0	303	1	P	1	1.0	6	50997	n/a	9.0	41576	3	n/a	9.421	0.5	6.0	52.9	58.9	7.1
10.034	0.5	32	2	2.0	276	1	R	1	1.0	7	51610	2.0	n/a	41576	3	n/a	10.034	0.5	6.0	52.9	58.9	7.1
10.664	0.5	32	1	2.0	187	0	P	1	1.0	8	52240	n/a	12.0	41576	3	PatternHigh	10.664	0.5	6.0	52.9	58.9	7.1
11.278	0.5	32	3	3.0	308	1	R	1	1.0	9	52854	6.0	n/a	41576	3	RandomLow	11.278	0.5	6.0	52.9	58.9	7.1
11.908	0.5	32	4	3.0	214	0	P	1	1.0	10	53484	n/a	16.0	41576	3	PatternHigh	11.908	0.5	6.0	52.9	58.9	7.1
12.521	0.5	32	3	2.0	267	0	R	1	1.0	11	54097	9.0	n/a	41576	3	RandomLow	12.521	0.5	6.0	52.9	58.9	7.1
13.134	0.5	32	3	2.0	285	0	P	1	1.0	12	54710	n/a	2.0	41576	3	PatternHigh	13.134	0.5	6.0	52.9	58.9	7.1
13.765	0.5	32	2	2.0	293	1	R	1	1.0	13	55341	13.0	n/a	41576	3	RandomHigh	13.765	0.5	6.0	52.9	58.9	7.1
14.378	0.5	32	2	2.0	298	1	P	1	1.0	14	55954	n/a	6.0	41576	3	PatternHigh	14.378	0.5	6.0	52.9	58.9	7.1
15.008	0.5	32	3	3.0	297	1	R	1	1.0	15	56584	16.0	n/a	41576	3	RandomLow	15.008	0.5	6.0	52.9	58.9	7.1
15.621	0.5	32	1	1.0	253	1	P	1	1.0	16	57197	n/a	9.0	41576	3	PatternHigh	15.621	0.5	6.0	52.9	58.9	7.1
16.235	0.5	32	4	4.0	340	1	R	1	1.0	17	57811	3.0	n/a	41576	3	RandomLow	16.235	0.5	6.0	52.9	58.9	7.1
16.865	0.5	32	4	4.0	228	1	P	1	1.0	18	58441	n/a	13.0	41576	3	PatternHigh	16.865	0.5	6.0	52.9	58.9	7.1
17.478	0.5	32	3	3.0	319	1	R	1	1.0	19	59054	6.0	n/a	41576	3	RandomHigh	17.478	0.5	6.0	52.9	58.9	7.1
18.092	0.5	32	3	2.0	240	0	P	1	1.0	20	59668	n/a	0.0	41576	3	PatternHigh	18.092	0.5	6.0	52.9	58.9	7.1
18.722	0.5	32	1	2.0	326	0	R	1	1.0	21	60298	10.0	n/a	41576	3	RandomLow	18.722	0.5	6.0	52.9	58.9	7.1
19.335	0.5	32	2	3.0	351	0	P	1	1.0	22	60911	n/a	3.0	41576	3	PatternHigh	19.335	0.5	6.0	52.9	58.9	7.1
19.965	0.5	32	4	4.0	332	1	R	1	1.0	23	61541	13.0	n/a	41576	3	RandomHigh	19.965	0.5	6.0	52.9	58.9	7.1
20.579	0.5	32	1	1.0	327	1	P	1	1.0	24	62155	n/a	7.0	41576	3	PatternHigh	20.579	0.5	6.0	52.9	58.9	7.1
21.192	0.5	32	3	3.0	303	1	R	1	1.0	25	62768	0.0	n/a	41576	3	RandomHigh	21.192	0.5	6.0	52.9	58.9	7.1
21.822	0.5	32	4	4.0	296	1	P	1	1.0	26	63398	n/a	10.0	41576	3	PatternHigh	21.822	0.5	6.0	52.9	58.9	7.1
